127.0.0.1 - - [01/May/2019:18:38:31 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/ HTTP/1.1" 200 18524
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/img/homeimg/main/kakao-login.png HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/img/homeimg/main/oceanimg.JPG HTTP/1.1" 200 78861
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/reservation/vendor/owl.carousel.min.js HTTP/1.1" 200 36224
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/reservation/vendor/main.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/reservation/vendor/swiper.min.js HTTP/1.1" 200 122735
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/homemain/nav.js HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/respond.min.js HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/wow.min.js HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/custom.js HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/html5shiv.min.js HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/instanav.js HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/instafeed.js HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/aquagram/vendor/Sticky-kit.js HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/router.js HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/app.js HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [01/May/2019:18:38:32 +0900] "GET /web/resources/js/component/jecompo.js HTTP/1.1" 200 23938
